id, date, time, day, session, trial, tau, ild, itd, ratio, revno, rove, srove, vrove, correct, answer
2002, 2018-03-13, 13:06:43, 1, 1, 44, 4.000, 10.0, 0.000, -12.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:06:46, 1, 1, 45, 4.000, 10.0, 0.000, -12.000000, 9, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:06:48, 1, 1, 46, 4.000, 10.0, 0.000, -9.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:06:50, 1, 1, 47, 4.000, 10.0, 0.000, -9.000000, 10, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:06:53, 1, 1, 48, 4.000, 10.0, 0.000, -12.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:06:55, 1, 1, 49, 4.000, 10.0, 0.000, -12.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:06:57, 1, 1, 50, 4.000, 10.0, 0.000, -15.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:07:00, 1, 1, 51, 4.000, 10.0, 0.000, -15.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:07:02, 1, 1, 52, 4.000, 10.0, 0.000, -18.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:07:04, 1, 1, 53, 4.000, 10.0, 0.000, -18.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:07:06, 1, 1, 54, 4.000, 10.0, 0.000, -21.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:07:09, 1, 1, 55, 4.000, 10.0, 0.000, -21.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:07:11, 1, 1, 56, 4.000, 10.0, 0.000, -24.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:07:13, 1, 1, 57, 4.000, 10.0, 0.000, -24.000000, 11, 0, 0.000000, 0.000000, 1, 0
2002, 2018-03-13, 13:07:16, 1, 1, 58, 4.000, 10.0, 0.000, -21.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:07:18, 1, 1, 59, 4.000, 10.0, 0.000, -21.000000, 0, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:07:20, 1, 1, 60, 4.000, 10.0, 0.000, -18.000000, 0, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:08:53, 1, 2, 1, 4.000, 0.0, 0.350, 10.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:08:56, 1, 2, 2, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:08:58, 1, 2, 3, 4.000, 0.0, 0.350, 0.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:01, 1, 2, 4, 4.000, 0.0, 0.350, -5.000000, 1, 0, 0.000000, 0.000000, 1, 0
2002, 2018-03-13, 13:09:04, 1, 2, 5, 4.000, 0.0, 0.350, 0.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:09:06, 1, 2, 6, 4.000, 0.0, 0.350, 0.000000, 0, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:09:09, 1, 2, 7, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:11, 1, 2, 8, 4.000, 0.0, 0.350, 5.000000, 2, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:13, 1, 2, 9, 4.000, 0.0, 0.350, 0.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:09:16, 1, 2, 10, 4.000, 0.0, 0.350, 0.000000, 3, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:09:18, 1, 2, 11, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:09:20, 1, 2, 12, 4.000, 0.0, 0.350, 10.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:22, 1, 2, 13, 4.000, 0.0, 0.350, 10.000000, 4, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:25, 1, 2, 14, 4.000, 0.0, 0.350, 5.000000, 5, 0, 0.000000, 0.000000, 1, 0
2002, 2018-03-13, 13:09:27, 1, 2, 15, 4.000, 0.0, 0.350, 10.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:29, 1, 2, 16, 4.000, 0.0, 0.350, 10.000000, 6, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:32, 1, 2, 17, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:09:34, 1, 2, 18, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:09:36, 1, 2, 19, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:38, 1, 2, 20, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:09:41, 1, 2, 21, 4.000, 0.0, 0.350, 1.000000, 7, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:09:43, 1, 2, 22, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:45, 1, 2, 23, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:09:48, 1, 2, 24, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 0, 0
